slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
grantho01,Horace Grant,LOS ANGELES LAKERS,HOME,BOSTON CELTICS,WIN,1950,6,12,0,1,4,4,1,2,0,2,0,0,2,12.5
stoudda01,Damon Stoudamire,PORTLAND TRAIL BLAZERS,AWAY,SEATTLE SUPERSONICS,LOSS,2043,4,9,3,5,2,2,1,4,7,1,0,2,4,12.5
foxri01,Rick Fox,LOS ANGELES LAKERS,HOME,BOSTON CELTICS,WIN,2241,8,17,3,9,2,2,1,4,6,1,0,5,5,12.4
houstal01,Allan Houston,NEW YORK KNICKS,HOME,CLEVELAND CAVALIERS,WIN,2190,7,16,1,4,5,5,0,2,5,0,0,3,2,11.9
gatlich01,Chris Gatling,CLEVELAND CAVALIERS,AWAY,NEW YORK KNICKS,LOSS,1340,5,11,1,1,2,2,1,5,1,2,0,0,1,11.8
moblecu01,Cuttino Mobley,HOUSTON ROCKETS,HOME,INDIANA PACERS,WIN,3505,10,29,1,4,6,7,1,9,0,2,0,2,5,11.7
patteru01,Ruben Patterson,SEATTLE SUPERSONICS,HOME,PORTLAND TRAIL BLAZERS,WIN,1440,5,9,0,0,4,4,0,2,0,1,1,0,1,11.6
abdulma02,Mahmoud Abdul-Rauf,VANCOUVER GRIZZLIES,AWAY,ATLANTA HAWKS,LOSS,1215,7,10,0,1,0,0,1,0,6,0,0,2,3,11.5
chrisdo01,Doug Christie,SACRAMENTO KINGS,AWAY,ORLANDO MAGIC,WIN,2426,1,5,1,3,4,4,0,0,5,4,1,0,2,11.3
millere01,Reggie Miller,INDIANA PACERS,AWAY,HOUSTON ROCKETS,LOSS,3288,3,14,2,8,6,6,0,4,7,2,0,1,3,11.3
cassesa01,Sam Cassell,MILWAUKEE BUCKS,AWAY,TORONTO RAPTORS,WIN,2455,10,23,0,2,1,1,0,3,5,0,1,2,2,11.2
garripa01,Pat Garrity,ORLANDO MAGIC,HOME,SACRAMENTO KINGS,LOSS,1836,6,10,3,6,2,2,0,3,0,0,0,1,3,11.1
